Sample,LibraryName,Group
SRR14660224,HC1_bacterial,HC
SRR14660214,HC10_bacterial,HC
SRR14660213,HC11_bacterial,HC
SRR14660212,HC12_bacterial,HC
SRR14660211,HC13_bacterial,HC
SRR14660210,HC14_bacterial,HC
SRR14660209,HC15_bacterial,HC
SRR14660208,HC16_bacterial,HC
SRR14660207,HC17_bacterial,HC
SRR14660206,HC18_bacterial,HC
SRR14660204,HC19_bacterial,HC
SRR14660223,HC2_bacterial,HC
SRR14660203,HC20_bacterial,HC
SRR14660202,HC21_bacterial,HC
SRR14660201,HC22_bacterial,HC
SRR14660200,HC23_bacterial,HC
SRR14660199,HC24_bacterial,HC
SRR14660198,HC25_bacterial,HC
SRR14660197,HC26_bacterial,HC
SRR14660195,HC28_bacterial,HC
SRR14660193,HC29_bacterial,HC
SRR14660222,HC3_bacterial,HC
SRR14660192,HC30_bacterial,HC
SRR14660191,HC31_bacterial,HC
SRR14660190,HC32_bacterial,HC
SRR14660189,HC33_bacterial,HC
SRR14660188,HC34_bacterial,HC
SRR14660221,HC4_bacterial,HC
SRR14660220,HC5_bacterial,HC
SRR14660219,HC6_bacterial,HC
SRR14660218,HC7_bacterial,HC
SRR14660217,HC8_bacterial,HC
SRR14660215,HC9_bacterial,HC
SRR14660251,MS1_bacterial,MS
SRR14660150,MS10_bacterial,MS
SRR14660249,MS11_bacterial,MS
SRR14660238,MS12_bacterial,MS
SRR14660235,MS13_bacterial,MS
SRR14660234,MS14_bacterial,MS
SRR14660233,MS15_bacterial,MS
SRR14660232,MS16_bacterial,MS
SRR14660231,MS17_bacterial,MS
SRR14660230,MS18_bacterial,MS
SRR14660229,MS19_bacterial,MS
SRR14660250,MS2_bacterial,MS
SRR14660228,MS20_bacterial,MS
SRR14660226,MS21_bacterial,MS
SRR14660227,MS3_bacterial,MS
SRR14660205,MS5_bacterial,MS
SRR14660194,MS6_bacterial,MS
SRR14660183,MS7_bacterial,MS
SRR14660172,MS8_bacterial,MS
SRR14660161,MS9_bacterial,MS