taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.shahii,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,shahii
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes.timonensis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,timonensis
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.NA.NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,NA,NA
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Rikenella.NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,NA
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Rikenellaceae.Rikenellaceae_RC9_gut_group.NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,NA
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.NA.NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,NA,NA
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.distasonis,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,distasonis
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.goldsteinii,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,goldsteinii
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.gordonii,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,gordonii
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.johnsonii,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,johnsonii
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.merdae,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,merdae
Bacteria.Bacteroidota.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides.NA,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,NA
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.NA.NA.NA,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Bacteria.Bacteroidota.Bacteroidia.NA.NA.NA.NA,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Bacteria.Bacteroidota.NA.NA.NA.NA.NA,Bacteria,Bacteroidota,NA,NA,NA,NA,NA
Bacteria.Campilobacterota.Campylobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.NA,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,NA
Bacteria.Campilobacterota.Campylobacteria.Campylobacterales.Campylobacteraceae.Campylobacter.ureolyticus,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,ureolyticus
Bacteria.Cyanobacteria.Cyanobacteriia.Chloroplast.NA.NA.NA,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Bacteria.Cyanobacteria.Vampirivibrionia.Gastranaerophilales.NA.NA.NA,Bacteria,Cyanobacteria,Vampirivibrionia,Gastranaerophilales,NA,NA,NA
Bacteria.Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.Bilophila.NA,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,NA
Bacteria.Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.Bilophila.wadsworthia,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Bilophila,wadsworthia
Bacteria.Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.fairfieldensis,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,fairfieldensis
Bacteria.Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.NA,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA
Bacteria.Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.Desulfovibrio.piger,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,piger
Bacteria.Desulfobacterota.Desulfovibrionia.Desulfovibrionales.Desulfovibrionaceae.NA.NA,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,NA,NA
Bacteria.Elusimicrobiota.Elusimicrobia.Elusimicrobiales.Elusimicrobiaceae.Elusimicrobium.NA,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,Elusimicrobiaceae,Elusimicrobium,NA
Bacteria.Firmicutes.Bacilli.Acholeplasmatales.Acholeplasmataceae.Anaeroplasma.NA,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,Anaeroplasma,NA
Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.coagulans,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,coagulans
Bacteria.Firmicutes.Bacilli.Bacillales.Bacillaceae.Bacillus.NA,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Asteroleplasma.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Asteroleplasma,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Candidatus_Stoquefichus.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Candidatus_Stoquefichus,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Catenibacterium.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Catenibacterium,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Coprobacillus.cateniformis,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Coprobacillus,cateniformis
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelatoclostridium.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelatoclostridium.ramosum,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,ramosum
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelotrichaceae_UCG-003.bacterium,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelotrichaceae_UCG-003,bacterium
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.Erysipelotrichaceae_UCG-003.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelotrichaceae_UCG-003,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.NA.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,NA,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelatoclostridiaceae.UCG-004.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,UCG-004,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Bulleidia.extructa,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,extructa
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Dielma.fastidiosa,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dielma,fastidiosa
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Dielma.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dielma,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Dubosiella.newyorkensis,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Dubosiella,newyorkensis
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Faecalicoccus.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Faecalicoccus.pleomorphus,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalicoccus,pleomorphus
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Faecalitalea.cylindroides,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,cylindroides
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Faecalitalea.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemanella.biformis,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,biformis
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemanella.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemania.filiformis,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemania,filiformis
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemania.massiliensis,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemania,massiliensis
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Holdemania.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemania,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Merdibacter.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Merdibacter,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.NA.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,NA,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Solobacterium.moorei,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,moorei
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Turicibacter.NA,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,NA
Bacteria.Firmicutes.Bacilli.Erysipelotrichales.Erysipelotrichaceae.Turicibacter.sanguinis,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,sanguinis
Bacteria.Firmicutes.Bacilli.Izemoplasmatales.NA.NA.NA,Bacteria,Firmicutes,Bacilli,Izemoplasmatales,NA,NA,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Carnobacteriaceae.Granulicatella.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Enterococcaceae.Enterococcus.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.amylovorus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,amylovorus
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.crispatus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,crispatus
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.delbrueckii,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,delbrueckii
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.frumenti,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,frumenti
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.gastricus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,gastricus
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.kalixensis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,kalixensis
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.paracasei,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,paracasei
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Lactobacillus.ruminis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,ruminis
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Pediococcus.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Leuconostoc.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Leuconostocaceae.Weissella.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Listeriaceae.Brochothrix.thermosphacta,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Brochothrix,thermosphacta
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Floricoccus.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Floricoccus,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Lactococcus.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.NA.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,NA,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.mutans,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,mutans
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.NA,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.parasanguinis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,parasanguinis
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.salivarius,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,salivarius
Bacteria.Firmicutes.Bacilli.NA.NA.NA.NA,Bacteria,Firmicutes,Bacilli,NA,NA,NA,NA
Bacteria.Firmicutes.Bacilli.RF39.NA.NA.NA,Bacteria,Firmicutes,Bacilli,RF39,NA,NA,NA
Bacteria.Firmicutes.Bacilli.Staphylococcales.Gemellaceae.Gemella.NA,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,NA
Bacteria.Firmicutes.Bacilli.Staphylococcales.Gemellaceae.Gemella.sanguinis,Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,sanguinis
Bacteria.Firmicutes.Bacilli.Staphylococcales.Staphylococcaceae.Staphylococcus.NA,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,NA
Bacteria.Firmicutes.Clostridia.Caldicoprobacterales.Caldicoprobacteraceae.Caldicoprobacter.NA,Bacteria,Firmicutes,Clostridia,Caldicoprobacterales,Caldicoprobacteraceae,Caldicoprobacter,NA
Bacteria.Firmicutes.Clostridia.Christensenellales.Christensenellaceae.Christensenella.massiliensis,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenella,massiliensis
Bacteria.Firmicutes.Clostridia.Christensenellales.Christensenellaceae.Christensenella.minuta,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenella,minuta
Bacteria.Firmicutes.Clostridia.Christensenellales.Christensenellaceae.Christensenella.NA,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenella,NA
Bacteria.Firmicutes.Clostridia.Christensenellales.Christensenellaceae.Christensenellaceae_R-7_group.NA,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,NA
Bacteria.Firmicutes.Clostridia.Christensenellales.Christensenellaceae.NA.NA,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,NA,NA
Bacteria.Firmicutes.Clostridia.Clostridia_or.Hungateiclostridiaceae.Ruminiclostridium.NA,Bacteria,Firmicutes,Clostridia,Clostridia_or,Hungateiclostridiaceae,Ruminiclostridium,NA
Bacteria.Firmicutes.Clostridia.Clostridia_UCG-014.NA.NA.NA,Bacteria,Firmicutes,Clostridia,Clostridia_UCG-014,NA,NA,NA
Bacteria.Firmicutes.Clostridia.Clostridia_vadinBB60_group.NA.NA.NA,Bacteria,Firmicutes,Clostridia,Clostridia_vadinBB60_group,NA,NA,NA
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium_sensu_stricto_1.butyricum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,butyricum
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium_sensu_stricto_1.NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,NA
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium_sensu_stricto_1.neonatale,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,neonatale
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium_sensu_stricto_1.paraputrificum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,paraputrificum
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium_sensu_stricto_1.tertium,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,tertium
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Clostridium_sensu_stricto_3.NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_3,NA
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.NA.NA,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA,NA
Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae.Sarcina.ventriculi,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina,ventriculi
Bacteria.Firmicutes.Clostridia.Eubacteriales.Anaerofustaceae.Anaerofustis.NA,Bacteria,Firmicutes,Clostridia,Eubacteriales,Anaerofustaceae,Anaerofustis,NA
Bacteria.Firmicutes.Clostridia.Eubacteriales.Anaerofustaceae.Anaerofustis.stercorihominis,Bacteria,Firmicutes,Clostridia,Eubacteriales,Anaerofustaceae,Anaerofustis,stercorihominis
Bacteria.Firmicutes.Clostridia.Eubacteriales.Eubacteriaceae.Eubacterium.limosum,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,limosum
Bacteria.Firmicutes.Clostridia.Eubacteriales.Eubacteriaceae.Eubacterium.NA,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,NA
Bacteria.Firmicutes.Clostridia.Lachnospirales.Defluviitaleaceae.Defluviitaleaceae_UCG-011.NA,Bacteria,Firmicutes,Clostridia,Lachnospirales,Defluviitaleaceae,Defluviitaleaceae_UCG-011,NA
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.28-4.NA,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,28-4,NA
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.A2.NA,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,A2,NA
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Agathobacter.NA,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,NA
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Anaerobium.NA,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerobium,NA
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Anaerosporobacter.NA,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerosporobacter,NA
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Anaerostipes.caccae,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,caccae
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Anaerostipes.hadrus,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,hadrus
Bacteria.Firmicutes.Clostridia.Lachnospirales.Lachnospiraceae.Anaerostipes.NA,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,NA
